"Name","Version","License"
"pybcj","1.0.2","LGPL-2.0-or-later"
"pybind11","2.12.0","LicenseRef-BSD"
"pyceres","2.3","Apache-2.0"
"pycolmap","3.10.0","LicenseRef-BSD"
"pycparser","2.23","LicenseRef-BSD"
"pycryptodomex","3.20.0","Apache-2.0 AND LicenseRef-BSD AND LicenseRef-Public-Domain"
"pydantic","2.12.5","MIT"
"pydantic-settings","2.12.0","MIT"
"pydantic_core","2.41.5","MIT"
"pydub","0.25.1","MIT"
"pyee","13.0.0","MIT"
"pyparsing","3.2.3","MIT"
"pyppmd","1.1.0","LGPL-2.0-or-later"
"pyquaternion","0.9.9","MIT"
"pyserial","3.5","LicenseRef-BSD"
"pytest","8.4.2","MIT"
"python-dateutil","2.9.0.post0","Apache-2.0 AND LicenseRef-BSD"
"python-dotenv","1.2.1","BSD-3-Clause"
"python-multipart","0.0.20","Apache-2.0"
"pytz","2025.2","MIT"
"pywin32","311","PSF-2.0"
"pyzstd","0.16.0","LicenseRef-BSD"
"referencing","0.35.1","MIT"
"requests","2.31.0","Apache-2.0"
"requests-file","3.0.1","Apache-2.0"
"retrying","1.3.4","Apache-2.0"
"rich","14.1.0","MIT"
"rpds-py","0.22.3","MIT"
"rsa","4.9.1","Apache-2.0"
"ruff","0.12.9","MIT"
"safehttpx","0.1.6","MIT"
"scikit-learn","1.7.1","BSD-3-Clause"
"scrapling","0.3.14","LicenseRef-BSD"
"seaborn","0.13.2","LicenseRef-BSD"
"semantic-version","2.10.0","LicenseRef-BSD"
"serial","0.0.97","MIT"
"shell","1.0.1","LicenseRef-BSD"
"shellingham","1.5.4","ISC"
"six","1.17.0","MIT"
"sniffio","1.3.0","Apache-2.0 AND MIT"
"soupsieve","2.8.1","MIT"
"sse-starlette","3.1.2","BSD-3-Clause"
"stack-data","0.6.3","MIT"
"starlette","0.50.0","BSD-3-Clause"
"sympy","1.14.0","LicenseRef-BSD"
"tenacity","9.0.0","Apache-2.0"
"texttable","1.7.0","MIT"
"threadpoolctl","3.6.0","LicenseRef-BSD"
"tldextract","5.3.1","BSD-3-Clause"
"tomlkit","0.13.3","MIT"
"tornado","6.5.2","Apache-2.0"
"tqdm","4.66.2","MIT AND MPL-2.0"
"traitlets","5.14.3","LicenseRef-BSD"
"trimesh","4.7.4","MIT"
"typer","0.16.0","MIT"
"typing-inspection","0.4.2","MIT"
"typing_extensions","4.14.1","PSF-2.0"
"tzdata","2025.2","Apache-2.0"
"uritemplate","4.2.0","BSD-3-Clause OR Apache-2.0"
"urllib3","2.2.1","MIT"
"usd-core","24.11","LicenseRef-Proprietary"
"uvicorn","0.40.0","BSD-3-Clause"
"virtualenv","20.25.0","MIT"
"visdom","0.2.4","Apache-2.0"
"websocket-client","1.8.0","Apache-2.0"
"websockets","15.0.1","LicenseRef-BSD"
"widgetsnbextension","4.0.13","LicenseRef-BSD"
"xlrd","2.0.2","LicenseRef-BSD"
"xyzservices","2024.6.0","LicenseRef-BSD"
"zipp","3.21.0","MIT"
